Gene,Ant_MF1,Ant_MF2,Ant_MF3,Ant_VF1,Ant_VF2,Ant_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046629.1,251.2668882,262.7672213,165.2524198,402.2309594,208.6234185,239.4473208,OR143,254.0024498,0.343445368,0.307377421,1.117340913,0.263848589,0.785001142
XM_038046630.1,1643.591652,1116.760691,1155.940676,1355.368505,991.7475068,1295.192326,nan,1253.90352,-0.085721506,0.198063809,-0.432797425,0.665161944,0.949201065
XM_038046631.1,80.15323674,98.53770799,84.27873408,79.52417248,41.93435547,79.1561391,OR135,77.01717204,-0.370693126,0.390892441,-0.948325133,0.34296396,0.83963525
XM_038046632.1,80.15323674,98.53770799,84.27873408,79.52417248,41.93435547,79.1561391,OR138,77.01717204,-0.370693126,0.390892441,-0.948325133,0.34296396,0.83963525
XM_038046633.1,80.15323674,98.53770799,84.27873408,79.52417248,41.93435547,79.1561391,OR139,77.01717204,-0.370693126,0.390892441,-0.948325133,0.34296396,0.83963525
XM_038046634.1,0,3.519203857,0,0,0,0,nan,0.662001776,-2.84481248,3.972636757,-0.716101837,0.47392847,NA
XM_038046635.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046636.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046637.1,483.6212149,670.9948687,573.4258966,376.8754261,526.2761611,499.6731281,nan,519.5850527,-0.285890309,0.211162195,-1.353889642,0.175771589,0.685851436
XM_038046638.1,791.6257876,609.9953352,653.5733201,525.5510529,566.1137988,700.5318311,nan,638.413804,-0.179905624,0.189594509,-0.948896808,0.342673098,0.83963525
XM_038046639.1,794.3275821,618.2068109,653.5733201,531.3136741,566.1137988,701.5212828,nan,641.0693404,-0.182073086,0.187995244,-0.968498365,0.332795535,0.835663766
XM_038046640.1,824.9479197,1039.338206,981.5993734,1274.691808,862.7993637,907.3272445,nan,978.8051092,0.113728041,0.198169477,0.573892823,0.56604033,0.928302962
XM_038046641.1,824.9479197,1039.338206,981.5993734,1274.691808,862.7993637,907.3272445,nan,978.8051092,0.113728041,0.198169477,0.573892823,0.56604033,0.928302962
XM_038046642.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046643.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046644.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046645.1,3.602392662,0,10.74140728,0,0,2.968355216,nan,2.986732222,-2.309886778,2.282517665,-1.011990756,0.311542473,0.825054859
XM_038046646.1,5478.338641,4368.505054,4599.801104,4342.711332,4408.349119,3770.800577,nan,4473.307441,-0.188857962,0.140114731,-1.347880842,0.177696711,0.68745855
